state,state_code,votesmart,title,party,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openley_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address,website,contact_page,facebook_url,twitter_url,photo_url
Hawaii,HI,3406,governor,democrat,David,,Ige,,,DAY-vid EE-gay,male,pacific-islander,unspecified,no,1957-01-15,2014-01-12,2022-01-01,"David Yutaka Ige (born January 15, 1957) is an American politician who serves as the eighth and current Governor of Hawaii, in office since 2014. A Democrat, he previously served in the Hawaii State Senate, representing the 16th district, from 1995 to 2014. In the 2014 Hawaii gubernatorial election, he won the Democratic primary by defeating incumbent Governor Neil Abercrombie with 66% of the vote.",808-586-0034,808-586-0006,21.307764,-157.8594961,"415 South Beretania Street, Honolulu, HI 96813",https://governor.hawaii.gov,https://governor.hawaii.gov/contact-us/contact-the-governor/,https://facebook.com/GovernorDavidIge,https://twitter.com/GovHawaii,
Idaho,ID,54166,governor,republican,Brad,,Little,,,BRAD LI-tel,male,white-american,episcopalian,no,1954-02-15,2019-01-01,2022-12-31,"Brad Little is the Republican Governor of Idaho. Little was elected to the office on November 6, 2018. Little was the 42nd Lieutenant Governor of Idaho, serving from 2009 to 2019. In his capacity as lieutenant governor, Little also served as president of the Idaho State Senate.",208-334-2100,208-334-2175,43.617779,-116.199654,"700 West Jefferson, Boise, ID 83702",https://gov.idaho.gov/,https://gov.idaho.gov/contact-us/,https://facebook.com/bradlittleforidaho/,https://twitter.com/GovernorLittle,
Illinois,IL,18341,governor,democrat,J.B.,,Pritzker,,,J B PRITS-ker,male,white-american,unspecified,no,1965-01-19,2019-01-01,2022-12-31,"J.B. Pritzker is the Democratic Governor of Illinois. Pritzker was elected to the office on November 6, 2018.",217-782-0244,217-524-4049,39.801149,-89.648686,"State Capitol, Springfield, IL 62706",https://www.illinois.gov/gov/,https://www2.illinois.gov/gov/contactus/Pages/default.aspx,https://facebook.com/jbpritzker,https://twitter.com/jbpritzker,
Indiana,IN,34349,governor,republican,Eric,Joseph,Holcomb,,,E-rik HAWL-koam,male,white-american,church-of-god,no,1968-05-02,2017-01-09,2025-01-01,"Eric Joseph Holcomb (born May 2, 1968) is an American politician who serves as the 51st and current Governor of Indiana since January 2017. Prior to his election to the governorship, he was also the 51st Lieutenant Governor of Indiana under Governor Mike Pence, now the 48th and current Vice President of the United States.",317-232-4567,317-232-3443,39.767169,-86.162628,"200 W. Washington St., Second Floor, Rm. 206, Indianapolis, IN 46204",https://www.in.gov/gov/,https://www.in.gov/core/help.html,https://facebook.com/GovHolcomb,https://twitter.com/GovHolcomb,
Iowa,IA,103324,governor,republican,Kimberly,Kay,Reynolds,,Kim,KIM RE-neldz,female,white-american,unspecified,no,1959-08-04,2017-05-24,2023-01-01,"Kimberly Kay Reynold is an American politician serving as the 43rd and current Governor of Iowa since 2017. A Republican, she previously served as the Lieutenant Governor of Iowa from 2011 to 2017 and assumed the governorship when incumbent Governor Terry Branstad became the United States Ambassador to China. Reynolds is the first female Governor of Iowa.",515-281-5211,515-281-6611,41.5912077,-93.6059486,"1007 East Grand Ave., Des Moines, IA 50319",https://governor.iowa.gov,https://governor.iowa.gov/contact,https://facebook.com/IAGovernor,https://twitter.com/kimreynoldsia,
Kansas,KS,34496,governor,democrat,Laura,,Kelly,,,LA-ur-ra KE-lee,female,white-american,unspecified,no,1950-01-24,2018-01-31,2023-01-01,"Laura Kelly is the Democratic Governor of Kansas. Kelly was elected to the office on November 6, 2018. Kelly is a former Democratic member of the Kansas State Senate, representing District 18 from 2005 to 2018.",785-296-3232,785-296-7973,39.046497,-95.67936,"300 SW 10th Avenue, Suite 212S, Topeka, KS 66612-1590",https://governor.kansas.gov,https://governor.kansas.gov/contact/contact-the-governor/,https://facebook.com/LauraKellyKS,https://twitter.com/govlaurakelly,
Kentucky,KY,156112,governor,democrat,Andy,,Beshear,,,an-dee be-shear,male,white-american,protestant,no,1977-11-29,2019-12-10,2023-01-01,"Beshear was born in Louisville, the son of Steve and Jane Beshear. He grew up in Fayette, Franklin, and Clark counties and graduated from Henry Clay High School in Lexington, Kentucky. Steve Beshear was the Governor of the Commonwealth of Kentucky from 2007 to 2015.",502-564-2611,502-564-2517,38.8958561,-77.0119808,"444 North Capitol Street, Washington, DC 20001",https://governor.ky.gov,https://governor.ky.gov/contact/contact-us,https://facebook.com/govandybeshear,https://twitter.com/govandybeshear,
Louisiana,LA,72012,governor,democrat,John,Bel,Edwards,,,JOAN ED-werdz,male,white-american,unspecified,no,1966-09-16,2016-01-11,2023-01-01,"John Bel Edwards (born September 16, 1966) is an American politician and lawyer who is the 56th and current Governor of Louisiana, in office since January 11, 2016. He was previously the Minority Leader of the Louisiana House of Representatives and represented the 72nd District for two terms. He left the state legislature to run for governor in 2015.",623-773-7328,225-342-7099,30.4571189,-91.1896208,"Louisiana State Capitol, Baton Rouge, LA 70802",https://gov.louisiana.gov/,https://gov.louisiana.gov/page/contact,https://facebook.com/LouisianaGov,https://twitter.com/louisianagov,
Maine,ME,36856,governor,democrat,Janet,,Mills,,,JA-net MILZ,female,white-american,unspecified,no,1947-12-30,2019-01-01,2022-12-31,"Janet T. Mills is the Democratic Governor of Maine. Mills was elected to the office on November 6, 2018. Mills served as Maine attorney general from 2009 to 2010 and again assumed office in 2012.",207-287-3531,207-287-1034,44.3069799,-69.784334,"1 State House Station, Augusta, ME 04333",https://www.maine.gov/governor/,https://www.maine.gov/governor/mills/contact,https://facebook.com/millsforgovernor,https://twitter.com/JanetMillsforME,
Maryland,MD,147764,governor,republican,Lawrence,Joseph,Hogan,Jr.,Larry,LA-ree HOH-gen,male,white-american,unspecified,no,1956-05-25,2015-01-21,2023-01-01,"Lawrence Joseph Hogan Jr. (born May 25, 1956) is an American politician who currently serves as the 62nd Governor of Maryland, in office since January 2015. He is only the second Republican governor in Maryland in nearly 50 years, and the first Maryland governor from Anne Arundel County to be elected in over 100 years.",410-974-3901,410-974-3275,38.9788597,-76.4932177,"100 State Circle, Annapolis, MD 21401",https://governor.maryland.gov/,https://governor.maryland.gov/mail/default.asp,https://facebook.com/larryhoganmd,https://twitter.com/LarryHogan,
Massachusetts,MA,124824,governor,republican,Charles,Duane,Baker,Jr.,Charlie,CHARR-lee BAY-ker,male,white-american,protestant,no,1956-11-13,2015-01-08,2023-01-01,"Charles Duane Baker Jr. (born November 13, 1956), is an American businessman and the 72nd and current Governor of Massachusetts, having been sworn into office on January 8, 2015. He was a cabinet official under two Massachusetts governors, spent ten years as CEO of Harvard Pilgrim Health Care and was also the Republican nominee for governor of Massachusetts in an unsuccessful 2010 bid.",617-725-4005,617-727-9725,42.3587723,-71.0660006,"Massachusetts State House, Office of the Governor, Room 280 Boston, MA 02133",https://www.mass.gov/governor/,https://www.mass.gov/governor/constituent-services/contact-governor-office/,https://facebook.com/CharlieBakerMA,https://twitter.com/massgovernor,
Michigan,MI,37868,governor,democrat,Gretchen,,Whitmer,,,GRE-chen WIT-mer,female,white-american,unspecified,no,1971-08-23,2019-01-01,2022-12-31,"Gretchen Whitmer is the Democratic Governor of Michigan. Whitmer was elected to the office on November 6, 2018. Whitmer is a former Democratic member of the Michigan State Senate, representing District 23 from her win in a 2006 special election to 2015. She served as minority leader for the final four years of her tenure.",517-373-3400,517-335-6863,42.741625,-84.59981,"P.O. Box 30013, Lansing, MI 48909",https://www.michigan.gov/gov,"https://www.michigan.gov/whitmer/0,9309,7-387-90498_90663---,00.html",https://facebook.com/GretchenWhitmer,https://twitter.com/gretchenwhitmer,
Minnesota,MN,65443,governor,democrat,Tim,,Walz,,,TIM WALZ,male,white-american,lutheran,no,1964-04-06,2019-01-01,2022-12-31,"Tim Walz is the Democratic Governor of Minnesota. Walz was elected to the office on November 6, 2018.",651-201-3400,651-797-1850,44.954546,-93.099553,"130 State Capitol, 75 Rev Dr. Martin Luther King Jr. Blvd. St. Paul, MN 55155",https://mn.gov/governor/,https://mn.gov/governor/contact/,https://facebook.com/GovTimWalz,https://twitter.com/GovTimWalz,
Mississippi,MS,40266,governor,republican,Tate,,Reeves,,,tate ree-ves,male,white-american,methodist,no,1974-06-05,2020-01-14,2024-01-01,"A native of Rankin County, Mississippi, Reeves graduated in 1992 from Florence High School in Florence. He is an honors graduate of Millsaps College in Jackson, where he earned a bachelor's degree in economics.",601-359-3150,601-359-3741,32.305033,-90.1830618,"550 High St., Sillers Building, 19th Floor, Jackson, MS 39201",https://governorreeves.ms.gov,https://governorreeves.ms.gov/,https://facebook.com/tatereeves/,https://twitter.com/tatereeves,
Missouri,MO,39119,governor,republican,Michael,L.,Parson,,Mike,MIKE PAR-son,male,white-american,unspecified,no,1955-09-17,2018-06-01,2023-01-01,"Michael L. Parson (born September 17, 1955) is an American politician and former law enforcement officer currently serving as the 57th Governor of Missouri, having taken office on June 1, 2018 after the resignation of Eric Greitens. Parson previously served as the 47th Lieutenant Governor of Missouri.",573-751-3222,573-526-3291,38.5774764,-92.1758644,"201 West Capitol Avenue, Room 218, Post Office Box 720, Jefferson City, MO 65101",https://governor.mo.gov/,https://governor.mo.gov/get-involved/contact-the-governors-office,https://facebook.com/TeamMikeParson,https://twitter.com/mikeparson,
Montana,MT,168594,governor,republican,Greg,,Gianforte,,,greg jee-uhn-for-tei,male,white-american,unspecified,no,1961-04-17,2021-01-04,2025-01-01,"Gregory Gianforte is an American politician, businessman, engineer, philanthropist, and author serving as the 25th Governor of Montana since 2021. A Republican, Gianforte served as the Representative for Montana's at-large congressional district from 2017 to 2021.",406-444-3111,406-444-5529,46.5855819,-112.0199645,"1301 E 6th Ave, Helena, MT 5960",https://governor.mt.gov,https://governor.mt.gov/contact,https://facebook.com/GovGianforte,https://twitter.com/gregformontana,
Nebraska,NE,57777,governor,republican,John,Peter,Ricketts,,Pete,PEET RI-kits,male,white-american,roman-catholic,no,1964-08-19,2015-01-08,2023-01-01,"Ricketts was born in Nebraska City, Nebraska, and now lives in Omaha. He attended the University of Chicago for both his bachelor and graduate studies, and received an MBA in marketing and finance from the university's Graduate School of Business.",402-471-2244,402-471-6031,40.800004,-96.672194,"Office of the Governor, Post Office Box 94848, Lincoln, NE 68509-4848",https://governor.nebraska.gov/,https://governor.nebraska.gov/contact-form,https://facebook.com/GovernorPeteRicketts,https://twitter.com/GovRicketts,
Nevada,NV,12492,governor,democrat,Steve,,Sisolak,,,STEEV SEE-saw-lak,male,white-american,unspecified,no,1953-12-26,2019-01-01,2023-01-01,"Steve Sisolak is the Democratic Governor of Nevada. Sisolak was elected to the office on November 6, 2018. Sisolak served as the District A representative on the Clark County Commission in Nevada from 2009 to 2019.",775-684-5670,775-684-5683,39.163894,-119.766127,"Capitol Building, 101 N. Carson St., Carson City, NV 89701",https://gov.nv.gov/,https://gov.nv.gov/Contact/Contact/,https://facebook.com/VoteSteveSisolak,https://twitter.com/stevesisolak,
New Hampshire,NH,125989,governor,republican,Christopher,T.,Sununu,,Chris,KRIS SUU-NOO-noo,male,white-american,roman-catholic,no,1974-11-05,2017-01-05,2023-01-01,"Christopher T. Sununu (born November 5, 1974) is an American politician and businessman who serves as the 82nd and current Governor of New Hampshire, since January 2017. Sununu was previously a member of the New Hampshire Executive Council, an office he held from (2011-2017). At age 42, Sununu is currently the youngest state Governor in the United States.",603-271-2121,603-271-7680,43.2069998,-71.5403939,"107 North Main Street, Concord, NH 03301",https://www.governor.nh.gov/,https://business.nh.gov/nhgovernor/comments.asp,https://facebook.com/GovernorChrisSununu,https://twitter.com/GovChrisSununu,
New Jersey,NJ,176221,governor,democrat,Philip,Dunton,Murphy,,Phil,FIL MUR-fee,male,white-american,unspecified,no,1957-08-16,2018-01-16,2022-01-01,"Philip Dunton Murphy (born August 16, 1957) is an American financier, diplomat, and politician currently serving as the 56th Governor of New Jersey. Murphy, a Democrat, defeated then Lieutenant Governor Kim Guadagno in the 2017 gubernatorial election.",609-292-6000,609-292-3454,40.220707,-74.763027,"Office of the Governor, Post Office Box 001, Trenton, NJ 08625",https://www.nj.gov/governor/,https://www.nj.gov/governor/contact/,https://facebook.com/PhilMurphyNJ,https://twitter.com/philmurphynj,
New Mexico,NM,102404,governor,democrat,Michelle,,Lujan Grisham,,,MI-shel LOO-hawn-GRIS-ham,female,white-american,unspecified,no,1959-10-24,2019-01-01,2022-12-31,"Michelle Lujan Grisham is the Democratic Governor of New Mexico. Grisham was elected to the office on November 6, 2018. Lujan Grisham served in the U.S. House, representing the 1st Congressional District of New Mexico, from 2013 to 2019.",505-476-2200,505-476-2226,35.68291,-105.94205,"State Capitol, Fourth Floor, Santa Fe, NM 87501",https://www.governor.state.nm.us/,https://www.governor.state.nm.us/contact/,https://facebook.com/mlujangrisham,https://twitter.com/michelle4nm,
New York,NY,45083,governor,democrat,Andrew,Mark,Cuomo,,,AN-droo KWOH-moh,male,white-american,roman-catholic,no,1957-12-06,2011-01-01,2023-01-01,"Andrew Mark Cuomo (born December 6, 1957) is an American politician and attorney who has been the 56th Governor of New York since January 1, 2011. A member of the Democratic Party, he was elected in 2010, holding the same position his father, Mario Cuomo, held for three terms from 1983 to 1995.",518-474-8390,,42.6497791,-73.7618584,"Governor, State Capitol Building, Albany, NY 12224",https://www.governor.ny.gov/,https://www.governor.ny.gov/contact-iframe,https://facebook.com/GovernorAndrewCuomo,https://twitter.com/nygovcuomo,
North Carolina,NC,5900,governor,democrat,Roy,Asberry,Cooper,III,,ROY KOO-per,male,white-american,presbyterian,no,1957-06-13,2017-01-01,2023-01-01,"Roy Asberry Cooper III (born June 13, 1957) is an American politician and attorney who is the 75th and current Governor of North Carolina, since January 2017. Prior to his governorship, Cooper had served as the Attorney General of North Carolina from 2001 to 2017 and was previously a member of the North Carolina State Senate.",919-814-2000,919-733-2120,35.8093599,-78.7094088,"20301 Mail Service Center, Raleigh, NC 27699",https://governor.nc.gov/,https://governor.nc.gov/contact-governor-cooper,https://facebook.com/NCgovernor,https://twitter.com/NC_Governor,
North Dakota,ND,170745,governor,republican,Douglas,J.,Burgum,,Doug,DOAG BUR-gum,male,white-american,unspecified,no,1956-08-01,2016-12-15,2023-01-01,"Douglas J. Burgum (born August 1, 1956) is an American entrepreneur, philanthropist and politician serving as the 33rd and current Governor of North Dakota since December 15, 2016. He is a member of the Republican Party.",701-328-2200,701-328-2205,46.8207013,-100.7849455,"600 East Boulevard, Avenue Bismarck, ND 58505",https://www.governor.nd.gov/,https://www.governor.nd.gov/contact-us,https://facebook.com/GovernorDougBurgum,https://twitter.com/DougBurgum,
Ohio,OH,21799,governor,republican,Michael,,DeWine,,Mike,MYK DEE-wyn,male,white-american,roman-catholic,no,1947-01-05,2019-01-01,2023-01-01,"Richard Michael DeWine is the Republican Governor of Ohio. DeWine was elected to the office on November 6, 2018.",614-466-3555,614-466-9354,39.9606364,-83.0031631,"77 South High Street, 30th Floor, Columbus, OH 43215",https://governor.ohio.gov/,https://governor.ohio.gov/Contact/Contact-the-Governor,https://facebook.com/MikeDeWine,https://twitter.com/mikedewine,
Oklahoma,OK,180027,governor,republican,Kevin,,Stitt,,,KE-vin STIT,male,white-american,unspecified,no,1972-12-28,2019-01-01,2022-12-31,"Kevin Stitt is the Republican Governor of Oklahoma. Stitt was elected to the office on November 6, 2018.",405-521-2342,405-521-3353,35.460835,-97.499706,"Capitol Building, 2300 Lincoln Blvd., Rm. 212, Oklahoma City, OK 73105",https://www.gov.ok.gov/,https://www.ok.gov/governor/Contact_the_Governor/index.html,https://facebook.com/StittForGovernor,https://twitter.com/GovStitt,
Oregon,OR,2990,governor,democrat,Katherine,,Brown,,Kate,KAYT BROWN,female,white-american,unspecified,no,1960-06-21,2015-02-18,2023-01-01,"Katherine Brown (born June 21, 1960) is an American politician who is the 38th and current Governor of Oregon. Brown, a Democrat and an attorney, previously served as Oregon Secretary of State and as majority leader of the Oregon State Senate, where she represented portions of Milwaukie and of Northeast and Southeast Portland.",503-378-4582,503-378-8970,44.9382486,-123.032757,"160 State Capitol, 900 Court Street, Salem, OR 97301-4047",https://www.oregon.gov/gov/pages/index.aspx,https://www.oregon.gov/gov/Pages/share-your-opinion.aspx,https://facebook.com/oregongovernor,https://twitter.com/OregonGovBrown,
Pennsylvania,PA,77203,governor,democrat,Thomas,Westerman,Wolf,,Tom,TAWM WAWLF,male,white-american,unspecified,no,1948-11-17,2015-01-20,2023-01-01,"Thomas Westerman Wolf (born November 17, 1948) is an American businessman and politician who is the 47th and current Governor of Pennsylvania, since taking office on January 20, 2015. A Democrat, he defeated Republican incumbent Tom Corbett in the 2014 gubernatorial election. Previously, Wolf served as the Secretary of the Pennsylvania Department of Revenue from April 2007 until November 2008 and as an executive in his family-owned business.",717-787-2500,717-772-8284,40.2645516,-76.8860975,"508 Main Capitol Building, Harrisburg, PA 17120",https://www.governor.pa.gov/,https://www.governor.pa.gov/contact/,https://facebook.com/governorwolf,https://twitter.com/governortomwolf,
Rhode Island,RI,80328,governor,democrat,Daniel,,McKee,,Dan,da-nee-el mc-kee,male,white-american,unspecified,no,1951-06-16,2021-03-02,2023-01-01,"McKee served six terms as mayor of Cumberland prior to his election to statewide office. In addition to his time in public service, McKee was a small business owner and operator for 30 years.",401-222-2371,,41.83089,-71.4172107,"82 Smith Street, Room 116, Providence, RI 02903",http://www.ltgov.ri.gov/,http://www.ltgov.ri.gov/contact/,https://facebook.com/LGDanMcKee,https://twitter.com/LGDanMcKee,
South Carolina,SC,48189,governor,republican,Henry,Dargan,McMaster,,,HEN-ree MUHK-MAS-ter,male,white-american,presbyterian,no,1947-05-27,2017-01-24,2023-01-01,"Henry Dargan McMaster (born May 27, 1947) is an American politician and attorney who is the 117th and current Governor of South Carolina. He assumed office on January 24, 2017. He previously served as the 91st Lieutenant Governor of South Carolina from 2015 to 2017, as well as Attorney General of South Carolina from 2003 to 2011.",803-734-2100,803-734-5167,34.0004102,-81.0350236,"The Honorable Henry McMaster, Office of the Governor, 1100 Gervais Street, Columbia, SC 29201",https://governor.sc.gov/Pages/default.aspx,https://governor.sc.gov/Contact/Pages/default.aspx,https://facebook.com/HenryMcMaster,https://twitter.com/henrymcmaster,
South Dakota,SD,58189,governor,republican,Kristi,,Noem,,,KRIS-tee NAH-em,female,white-american,unspecified,no,1971-11-30,2019-01-01,2023-01-01,"Kristi L. Noem is the Republican Governor of South Dakota. Noem was elected to the office on November 6, 2018. Noem is a former Republican member of the U.S. House of Representatives from the state of South Dakota. She represented South Dakota's At-Large Congressional District from 2011 to 2019.",605-773-3212,605-773-4711,44.367121,-100.346159,"500 East Capitol Avenue, Piere, SD 57501",https://sd.gov/governor/,https://sd.gov/governor/contact/default.aspx,https://facebook.com/kristiforgovernor,https://twitter.com/kristinoem,
Tennessee,TN,180465,governor,republican,Bill,,Lee,,,BIL LEE,male,white-american,christian,no,1959-10-09,2019-01-01,2023-01-01,"Bill Lee is the Republican Governor of Tennessee. Lee was elected to the office on November 6, 2018.",615-741-2001,615-532-9711,36.165832,-86.78423,"Tennessee State Capitol, Nashville, TN 37243-0001",https://www.tn.gov/governor,https://www.tn.gov/governor/contact-us.html,https://facebook.com/BillLeeTN,https://twitter.com/billleetn,
Texas,TX,50168,governor,republican,Gregory,Wayne,Abbott,,Greg,GREG A-buht,male,white-american,roman-catholic,no,1957-11-13,2015-01-20,2023-01-01,"Gregory Wayne Abbott (born November 13, 1957) is an American lawyer and politician who currently serves as the 48th Governor of Texas since January 2015. During the Governorship of his predecessor, Rick Perry, Abbott was the 50th Attorney General of Texas and is a Republican.",512-463-2000,512-463-5571,30.2727169,-97.7410268,"Office of the Governor, Post Office Box 12428, Austin, TX 78711-2428",https://gov.texas.gov/,https://gov.texas.gov/contact/,https://facebook.com/TexasGovernor,https://twitter.com/GregAbbott_TX,
Utah,UT,114270,governor,republican,Spencer,,Cox,,,spen-cer kawks,male,white-american,unspecified,no,1975-07-11,2021-01-04,2025-01-01,"Cox was raised and lives in Fairview, Utah. He was elected to the city council in 2004 and mayorship the next year. After overseeing rural economic development in Fairview, Cox was elected as a county commissioner for Sanpete County in 2008. He was elected to the Utah House of Representatives in 2012.",801-538-1041,801-538-1133,40.7774298,-111.8885905,"350 State St #200, Salt Lake City, UT 84114",https://governor.utah.gov,https://governor.utah.gov/contact/,https://facebook.com/utgovernorcox,https://twitter.com/GovCox,
Vermont,VT,55934,governor,republican,Philip,,Scott,,Phil,FIL SKAHT,male,white-american,unspecified,no,1958-08-04,2017-01-05,2023-01-01,"Philip Scott (born August 4, 1958) is an American politician and businessman serving as the 82nd and current Governor of the state of Vermont, since January 2017. A Republican, he won the 2016 general election with over 52% of the vote. He was previously the 80th Lieutenant Governor of Vermont, an office he held from 2011 to 2017.",802-828-3333,802-828-3339,44.2612298,-72.5817197,"109 State Street, Pavilion Montpelier, VT 05609",https://governor.vermont.gov/,https://governor.vermont.gov/contact-us/message,https://facebook.com/GovPhilScott,https://twitter.com/GovPhilScott,
